code,text
Positive Activating,"I found another interesting clue in your first graph is that generally, there is a descending trend from 2012 to 2014"
Personal advice,It is good to see more details on this.
Vocatives (addressing individual),"Hi Daniel,Thanks for your comments."
Positive Deactivating,This is cool!This confirms my personal impression that people don’t make music as good as they used to :)
"Complementing, expressing appreciation",The final result is quite compelling and really works.
Negative Activating,"I love the lead and the conclusion drawn by the graphs here, but I have one worry."
Asking questions,"Did you find any similarities about these two groups (or conversely, something very different about small towns)?"
"Complementing, expressing appreciation",Many thanks for the suggestions!
Positive Activating,I only wish I had produced a visualisation as effective as this!
Negative Activating,"I tried to find them in the graphic, but this took me some"
Positive Activating,I would also be interested to see the number of women who go into these areas of study but do not earn their degree and how this compares to their male counterparts.
Unconventional emotion expression,"that’s very tasty, too... ;-)"
Unconventional emotion expression,"see this link for the """"raw"""" template). :-)"
Personal advice,I wish we could isolate a single country to see its progression over time.
Vocatives (addressing individual),"Kimberly, thank you for your comment!"
Asking questions,It would interesting to see how well this data could reflect that. Does the shape or distribution of the data change from the 80s to the present?
Asking questions,In which year does the population data start in relation to 2015?
Negative Activating,A more technical question: I tried to make separate bar charts (first page in your story) but I couldn’t find the right way to select columns to get the legenda on top.
"Complementing, expressing appreciation",Really good work. You have an eye for making good visualizations.
"Complementing, expressing appreciation",Thank you for the link
Vocatives (addressing individual),"Hello Mark,I agree with the problems you identify with this graphic."
Unconventional emotion expression,The possibilities are endless... :-)
Positive Activating,This topic is very interesting!
Vocatives (addressing individual),"Hi Aleksandra, yes it would be more explanatory to add more variables to the data set, as cigarette and alcohol consumption are also believed to be a cause of cancer disease."
Negative Deactivating,I just didn’t have time to work with it any longer
Personal advice,This would allow you to see changes in staffing over time.
Unconventional emotion expression,Probably the question I mostly have is how does your histogram look so much cleaner than mine :-).
Unconventional emotion expression,Thanks for your feedback :D
Negative Activating,It took me a few minutes to figure this out.
Positive Activating,hope you can see the file now.
Positive Activating,"That said, I know this was a rough draft and more targeted toward finding stories in the data; not a final visual presentation of the data. So all is forgiven!"
Vocatives (addressing individual),"Very cool, thanks, TJ!"
Expressing agreement,I agree
Asking questions,Were they using a different data set?
Vocatives (addressing individual),"Hello Gabriela,Your work was very enlightening!"
"Complementing, expressing appreciation","Very cool, thanks, TJ!"
"Complementing, expressing appreciation",Excellent job
Asking questions,Does this mean that there is no data for the greyed out regions or they are low on the scale?
"Phatics, salutations and greetings, Social sharing","Hi Andrew,I think it is a very good solution that allows easy comparison between different categories and different countries, as well as the evolution of values over time."
"Complementing, expressing appreciation",This is really interesting!
"Complementing, expressing appreciation",Great work and interesting comparaison!
Asking questions,What is the large red circle in Florida? Why is it larger?
Asking questions,does attending school directly make one literate?
Negative Activating,"Still I’d like to be able to """"tinker"""" with the Flourish templates a bit more"
Vocatives (addressing individual),"Hi Jorge,Thanks for your feedback."
"Phatics, salutations and greetings, Social sharing","Hi Melissa,thank you for your feedback!"
Positive Activating,I found the third slide very interesting since it shows that Hindi is not the only language that dominates Indian film industry
Personal advice,i would recommend combining a few or the most related ones. This might have worked better as a bar graph
Asking questions,Was uncertainty (prediction confidence intervals) provided with the original data?
Negative Activating,"Though, you are right. I should be labeling them."
Negative Activating,I’m wondering if there was any change in the birth rate that could account for that dip.
Expressing disagreement,I did find it confusing though that you used the same color palette to for the boroughs in the map as you did for the races in the stacked bar.
"Complementing, expressing appreciation","Hi Valentina,Great job creating different views of the data you had."
"Complementing, expressing appreciation",thanks for the hint
Asking questions,Have you thought of other data or known drivers to help figure out some likely causes or reasons
Personal advice,One other possible thing to explore would be which album in the artist’s discography got ranked
"Complementing, expressing appreciation","Hi, Takura!I’ve specially appreciated the variety of graphs and options that you used."
"Complementing, expressing appreciation","Ebony, thank you for the feedback!"
Vocatives (addressing individual),"Hi luis,You did a nice try with your version of the graph."
Negative Activating,Got a bit confused now because I was later working with a lot of similar ones.
Vocatives (addressing individual),"Thanks Meenakshi, great suggestion."
Personal advice,The only critique I have is less of the content of your work than it is of trying to squeeze a visualization into a smaller screen or trying to adapt a viz so it accommodates all formats.
"Complementing, expressing appreciation",This is an excellent representation of the data which does tell the story more clearly.
Negative Deactivating,And I think there are no dramatic change when I look at it.
Positive Activating,"Parking downtown has always been considered a mess to locals, so I am curious how moving downtown shapes this."
Negative Activating,"I couldn’t really tell it it was giving a cumulative toll, or the toll in specific instances."
"Complementing, expressing appreciation",Kudos!There was a post from DB 01 that focused on the popular US TV show called Buffy the Vampire Slayer. Your post is similar to that one because it shows that playing with data can be fun and cool.
"Complementing, expressing appreciation",Great work! And nice use of motion graphics!
Unconventional emotion expression,Hi!That is a GREAT topic! :)
"Complementing, expressing appreciation","Also very cool to see the correlations between the amount of """"Freedoms"""" people have and the happiness level."
Vocatives (addressing individual),"Hi Vlad,What a great work you did."
Personal advice,"My suggestion for the first chart would be the line chart, which allows for a better comparison across continents over the years. In the second chart I think the information could be complemented using a map. So it looks visually beautiful, the information gets highlighted and the data does not get stuck to the table."
Expressing disagreement,I wonder if using red for the whole visualisation was the right choice.
Expressing agreement,with your comments on your PowerPoint that it seems like the maps
"Complementing, expressing appreciation","Hi Valentina,I really like your use of the borough icons as filters in your dashboards!"
Self-disclosure & expressing values,"Here in the Philippines, family networks are very strong so we usually have extended families living at home with parents and grandchildren - so we are able to support them."
Expressing agreement,"Hi Arnold,I came to the same conclusion that small multiples was the ideal way to go."
