,code,text,tokens
1,Personal advice,it is good to see more details on this ,"['it', 'is', 'good', 'to', 'see', 'more', 'details', 'on', 'this']"
2,Vocatives (addressing individual),"hi daniel,thanks for your comments ","['hi', 'daniel', 'thanks', 'for', 'your', 'comments']"
4,"Complementing, expressing appreciation",the final result is quite compelling and really works ,"['the', 'final', 'result', 'is', 'quite', 'compelling', 'and', 'really', 'works']"
5,Negative Activating,"i love the lead and the conclusion drawn by the graphs here, but i have one worry ","['i', 'love', 'the', 'lead', 'and', 'the', 'conclusion', 'drawn', 'by', 'the', 'graphs', 'here', 'but', 'i', 'have', 'one', 'worry']"
6,Asking questions,"did you find any similarities about these two groups (or conversely, something very different about small towns)?","['did', 'you', 'find', 'any', 'similarities', 'about', 'these', 'two', 'groups', 'or', 'conversely', 'something', 'very', 'different', 'about', 'small', 'towns']"
7,"Complementing, expressing appreciation",many thanks for the suggestions!,"['many', 'thanks', 'for', 'the', 'suggestions']"
9,Negative Activating,"i tried to find them in the graphic, but this took me some","['i', 'tried', 'to', 'find', 'them', 'in', 'the', 'graphic', 'but', 'this', 'took', 'me', 'some']"
13,Personal advice,i wish we could isolate a single country to see its progression over time ,"['i', 'wish', 'we', 'could', 'isolate', 'a', 'single', 'country', 'to', 'see', 'its', 'progression', 'over', 'time']"
14,Vocatives (addressing individual),"kimberly, thank you for your comment!","['kimberly', 'thank', 'you', 'for', 'your', 'comment']"
15,Asking questions,it would interesting to see how well this data could reflect that  does the shape or distribution of the data change from the 80s to the present?,"['it', 'would', 'interesting', 'to', 'see', 'how', 'well', 'this', 'data', 'could', 'reflect', 'that', 'does', 'the', 'shape', 'or', 'distribution', 'of', 'the', 'data', 'change', 'from', 'the', '80s', 'to', 'the', 'present']"
16,Asking questions,in which year does the population data start in relation to 2015?,"['in', 'which', 'year', 'does', 'the', 'population', 'data', 'start', 'in', 'relation', 'to', '2015']"
17,Negative Activating,a more technical question  i tried to make separate bar charts (first page in your story) but i couldn t find the right way to select columns to get the legenda on top ,"['a', 'more', 'technical', 'question', 'i', 'tried', 'to', 'make', 'separate', 'bar', 'charts', 'first', 'page', 'in', 'your', 'story', 'but', 'i', 'couldn', 't', 'find', 'the', 'right', 'way', 'to', 'select', 'columns', 'to', 'get', 'the', 'legenda', 'on', 'top']"
18,"Complementing, expressing appreciation",really good work  you have an eye for making good visualizations ,"['really', 'good', 'work', 'you', 'have', 'an', 'eye', 'for', 'making', 'good', 'visualizations']"
19,"Complementing, expressing appreciation",thank you for the link,"['thank', 'you', 'for', 'the', 'link']"
20,Vocatives (addressing individual),"hello mark,i agree with the problems you identify with this graphic ","['hello', 'mark', 'i', 'agree', 'with', 'the', 'problems', 'you', 'identify', 'with', 'this', 'graphic']"
