code,text
Course reflection,"I wished to watch a """"funny"""" story on Flourish or Inzight ,which are main elements of this course.Tableu is nowhere in the course."
Course reflection,The course has been fun and the learnings about best ways of exploring data with overview storytelling is what I was trying to put in practice.
Unconventional emotion expression,This is cool!This confirms my personal impression that people don’t make music as good as they used to :)
Unconventional emotion expression,Niiice tool!
Unconventional emotion expression,"But like the poster noted, colours and all that come next :)"
Unconventional emotion expression,Hi!That is a GREAT topic! :)
Unconventional emotion expression,I just made a quick draft for fun :)
Unconventional emotion expression,so sorry! O:)
Unconventional emotion expression,My 2 cents :)
Unconventional emotion expression,"To be honest, I didn’t expect this to be so frustrating at times :)"
Unconventional emotion expression,it could become their higher level strategy to attract more tourists : ]
Unconventional emotion expression,I’m from France :)
Unconventional emotion expression,Great job though! :)
Unconventional emotion expression,"see this link for the """"raw"""" template). :-)"
Unconventional emotion expression,Envious of your skillset for compelling & easy to read data. : )
Unconventional emotion expression,but in my imagination dogs and mices are friends :)
Unconventional emotion expression,"that’s very tasty, too... ;-)"
Unconventional emotion expression,"Annabelle, your story made me smile :-)"
Unconventional emotion expression,"Hi Takura,WOW."
Unconventional emotion expression,"Otherwise, great job! :)"
Unconventional emotion expression,The possibilities are endless... :-)
Unconventional emotion expression,As for Nollywood :-)
Unconventional emotion expression,A comparison with North America will be wonderful too ;-)
Unconventional emotion expression,Hope this helps :-)
Unconventional emotion expression,"And not just because my favourite club, Manchester City, was so well represented in the 2018 World Cup. ;-)"
Unconventional emotion expression,Some suggestions from my side:- your viz deserves a title! :-D
Unconventional emotion expression,Thanks for your feedback :D
Quoting from others' messages & Referring explicitly to others' messages,"For the database, I just posted a representative screenshot (trying to include Jimi Hendrix and Janis Joplin given that they are well-known members of the """"Unlucky 27 Club"""")"
Quoting from others' messages & Referring explicitly to others' messages,"That would have helped compare """"apples to apples.""""The final graph is very informative, especially if the data were listed in increasing or decreasing order to show the incremental differences by each country."""
Quoting from others' messages & Referring explicitly to others' messages,Here’s an article written last year about those schools in D.C.:https://www.theatlantic.com/education/archive/2017/07/how-america-educates-immigrants/533484/
Quoting from others' messages & Referring explicitly to others' messages,"If possible come and take a look at my work, it can be accessed online dynamically."
Quoting from others' messages & Referring explicitly to others' messages,"Hi Claudia,If you go tohttps://data.worldbank.org/indicator/SE.PRM.CMPT.FE.ZS?view=chart, you’ll find a spot where you can download the dataset in CSV, Excel, or XML."
Quoting from others' messages & Referring explicitly to others' messages,"So the easy way would be:http://ec.europa.eu/eurostat/search?p_auth=BHB4niEk&p_p_id=estatsearchportlet_WAR_estatsearchportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_estatsearchportlet_WAR_estatsearchportlet_action=search&text=Harmonised+unemployment+rate+by+sexClick on Acess TGM, there you will have a table."
Quoting from others' messages & Referring explicitly to others' messages,I got this onehttps://codebeautify.org/tsv-to-csv-converter
Quoting from others' messages & Referring explicitly to others' messages,"I wanted to share here two sources of local data that seem quite robust, these are for New York City:https://opendata.cityofnewyork.us/https://data2go.nyc/"
Quoting from others' messages & Referring explicitly to others' messages,Remember Alberto do this in schools analisys example in module 1.
Quoting from others' messages & Referring explicitly to others' messages,It would be great if you could take a look at this new graph:https://journalismcourses.org/mod/forum/discuss.php?d=104639#p293579
Quoting from others' messages & Referring explicitly to others' messages,It would be great if you could take a look at this new graph:https://journalismcourses.org/mod/forum/discuss.php?d=104639#p293579
Quoting from others' messages & Referring explicitly to others' messages,Thanks to @Matthew Sheffer and @Jonathan Zax for their feedback.
Quoting from others' messages & Referring explicitly to others' messages,Take a look at this blog post about doing something similar in Excel:https://www.linkedin.com/pulse/excel-map-hack-john-nelson/
Quoting from others' messages & Referring explicitly to others' messages,"My comments for improvement, match yours."
Quoting from others' messages & Referring explicitly to others' messages,I agree with Brett.
Quoting from others' messages & Referring explicitly to others' messages,https://www.airbnb.com/s/Utrecht--Netherlands/homes
Quoting from others' messages & Referring explicitly to others' messages,"Manoj’s comments are spot on, and I encourage you to do further exploration on the indicators."
Quoting from others' messages & Referring explicitly to others' messages,https://public.tableau.com/shared/QHTCPYZ5C?:display_count=yesThanks again!
Quoting from others' messages & Referring explicitly to others' messages,did you actually follow this link?http://felix.bernoully.com/DV18-EX04a.html
Quoting from others' messages & Referring explicitly to others' messages,"this is my storyhttps://public.flourish.studio/story/10707/,not about cheese, but... what do you think about?"
Quoting from others' messages & Referring explicitly to others' messages,The problem was fixed and the link should work right now.
Quoting from others' messages & Referring explicitly to others' messages,https://public.flourish.studio/story/10645/
Quoting from others' messages & Referring explicitly to others' messages,"Also, like Julian, I would like to see on a more global scale."
